Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-10-23,25-220,CHO,,CHI,W (+1),1,30:24,2,10,.200,2,6,.333,1,1,1.000,1,3,4,6,0,0,4,1,7,2.2,-18
2,2,2019-10-25,25-222,CHO,,MIN,L (-22),1,17:37,4,6,.667,1,1,1.000,2,2,1.000,0,1,1,10,1,0,2,5,11,12.7,+1
3,3,2019-10-27,25-224,CHO,@,LAL,L (-19),1,32:02,6,14,.429,3,10,.300,4,4,1.000,0,6,6,4,1,0,3,3,19,13.0,-7
4,4,2019-10-28,25-225,CHO,@,LAC,L (-15),1,34:05,7,17,.412,3,7,.429,0,0,,0,3,3,2,1,1,5,4,17,5.3,-26
5,5,2019-10-30,25-227,CHO,@,SAC,W (+7),1,34:53,7,15,.467,3,6,.500,5,7,.714,2,3,5,6,3,2,4,4,22,18.8,-5
6,6,2019-11-02,25-230,CHO,@,GSW,W (+6),1,36:33,8,17,.471,0,4,.000,4,8,.500,0,5,5,7,0,0,2,1,20,13.7,+11
7,7,2019-11-05,25-233,CHO,,IND,W (+2),1,43:23,7,19,.368,3,8,.375,5,5,1.000,2,3,5,4,1,0,3,1,22,14.2,+7
8,8,2019-11-07,25-235,CHO,,BOS,L (-21),1,26:21,1,11,.091,0,3,.000,1,1,1.000,0,3,3,2,1,0,4,3,3,-6.2,-14
9,9,2019-11-09,25-237,CHO,,NOP,L (-5),1,35:27,5,14,.357,3,7,.429,5,5,1.000,0,5,5,6,0,0,3,3,18,11.7,-9
10,10,2019-11-10,25-238,CHO,@,PHI,L (-8),1,22:21,5,12,.417,1,4,.250,2,2,1.000,0,1,1,4,2,0,3,4,13,7.1,-9
11,11,2019-11-13,25-241,CHO,,MEM,L (-2),1,36:39,13,20,.650,7,11,.636,0,0,,0,5,5,6,2,0,5,0,33,26.9,+15
12,12,2019-11-15,25-243,CHO,,DET,W (+3),1,32:40,8,18,.444,2,6,.333,1,1,1.000,1,4,5,2,3,0,1,1,19,14.5,-15
13,13,2019-11-16,25-244,CHO,@,NYK,W (+1),1,35:59,6,16,.375,1,7,.143,3,3,1.000,3,1,4,2,2,0,1,0,16,12.0,+9
14,14,2019-11-18,25-246,CHO,@,TOR,L (-36),1,26:23,4,11,.364,2,6,.333,0,0,,1,2,3,4,0,0,2,2,10,5.2,-24
15,15,2019-11-20,25-248,CHO,@,BRK,L (-10),1,32:31,5,14,.357,2,7,.286,6,6,1.000,1,5,6,2,0,0,4,4,18,8.2,-16
