Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-18,21-041,UTA,,DEN,W (+10),1,26:04,3,11,.273,0,2,.000,4,4,1.000,0,1,1,4,0,1,3,1,10,3.9,+22
2,2,2017-10-20,21-043,UTA,@,MIN,L (-3),0,20:00,1,7,.143,0,2,.000,0,1,.000,0,0,0,2,0,2,1,2,2,-1.9,-1
3,3,2017-10-21,21-044,UTA,,OKC,W (+9),1,21:56,1,7,.143,0,3,.000,0,0,,0,2,2,6,1,0,0,4,2,1.7,+3
4,4,2017-10-24,21-047,UTA,@,LAC,L (-18),1,29:55,7,20,.350,3,9,.333,2,2,1.000,1,1,2,1,1,0,4,4,19,4.9,-5
5,5,2017-10-25,21-048,UTA,@,PHO,L (-9),0,12:46,1,7,.143,0,2,.000,0,0,,0,1,1,1,1,1,3,3,2,-4.0,-2
6,6,2017-10-28,21-051,UTA,,LAL,W (+15),0,27:26,9,16,.563,3,6,.500,1,1,1.000,2,1,3,2,3,0,5,5,22,13.5,+17
7,7,2017-10-30,21-053,UTA,,DAL,W (+15),0,17:06,3,8,.375,2,4,.500,0,0,,0,1,1,1,2,0,0,2,8,5.8,-10
8,8,2017-11-01,21-055,UTA,,POR,W (+9),0,34:57,9,21,.429,4,10,.400,6,7,.857,2,4,6,3,0,0,2,4,28,17.6,+14
9,9,2017-11-03,21-057,UTA,,TOR,L (-9),0,31:46,9,20,.450,3,7,.429,4,4,1.000,0,3,3,0,2,2,0,4,25,17.3,+6
10,10,2017-11-05,21-059,UTA,@,HOU,L (-27),0,24:42,6,13,.462,3,7,.429,2,2,1.000,1,3,4,4,1,0,4,4,17,10.1,-14
11,11,2017-11-07,21-061,UTA,,PHI,L (-7),0,30:54,3,21,.143,2,11,.182,0,1,.000,1,2,3,1,1,1,1,3,8,-4.4,-11
12,12,2017-11-10,21-064,UTA,,MIA,L (-10),1,35:54,5,14,.357,2,6,.333,0,1,.000,0,2,2,1,2,0,1,4,12,4.5,-14
13,13,2017-11-11,21-065,UTA,,BRK,W (+8),1,25:32,10,18,.556,1,5,.200,5,5,1.000,2,1,3,3,1,0,3,5,26,17.2,+12
14,14,2017-11-13,21-067,UTA,,MIN,L (-11),1,34:43,10,19,.526,3,9,.333,1,2,.500,1,3,4,4,4,1,2,2,24,20.6,-11
15,15,2017-11-15,21-069,UTA,@,NYK,L (-5),1,36:25,8,17,.471,3,6,.500,0,0,,0,4,4,3,0,0,4,4,19,8.0,-9
16,16,2017-11-17,21-071,UTA,@,BRK,L (-11),1,35:16,5,15,.333,1,4,.250,4,4,1.000,2,5,7,8,1,1,3,1,15,13.3,-7
17,17,2017-11-18,21-072,UTA,@,ORL,W (+40),1,25:30,4,9,.444,3,4,.750,1,1,1.000,1,5,6,3,3,0,2,3,12,11.4,+15
18,18,2017-11-20,21-074,UTA,@,PHI,L (-21),1,37:02,6,19,.316,1,7,.143,4,5,.800,0,4,4,5,1,1,3,2,17,8.3,-13
19,19,2017-11-22,21-076,UTA,,CHI,W (+30),1,26:12,1,10,.100,0,3,.000,2,2,1.000,1,4,5,7,1,1,2,2,4,3.1,+18
20,20,2017-11-25,21-079,UTA,,MIL,W (+13),1,29:22,9,16,.563,6,10,.600,0,3,.000,0,4,4,4,2,0,1,2,24,19.4,+8
21,21,2017-11-28,21-082,UTA,,DEN,W (+29),1,30:14,5,12,.417,2,5,.400,4,4,1.000,0,3,3,2,2,0,2,4,16,10.3,+20
22,22,2017-11-30,21-084,UTA,@,LAC,W (+19),1,36:24,9,16,.563,5,10,.500,1,1,1.000,0,0,0,6,1,0,2,2,24,18.8,+13
23,23,2017-12-01,21-085,UTA,,NOP,W (+6),1,36:42,13,25,.520,6,12,.500,9,11,.818,0,4,4,4,0,0,2,3,41,28.7,+11
24,24,2017-12-04,21-088,UTA,,WAS,W (+47),1,25:54,8,13,.615,3,6,.500,2,2,1.000,2,1,3,2,0,0,3,2,21,14.4,+13
25,25,2017-12-05,21-089,UTA,@,OKC,L (-6),1,36:15,11,22,.500,5,12,.417,4,5,.800,0,1,1,4,5,0,5,3,31,21.5,+2
26,26,2017-12-07,21-091,UTA,,HOU,L (-11),1,35:21,9,19,.474,2,6,.333,6,6,1.000,0,4,4,4,1,0,2,5,26,17.3,-18
27,27,2017-12-09,21-093,UTA,@,MIL,L (-17),1,36:45,4,17,.235,2,6,.333,2,2,1.000,0,1,1,2,3,1,4,3,12,1.9,-17
28,28,2017-12-13,21-097,UTA,@,CHI,L (-3),1,36:49,15,26,.577,1,7,.143,1,1,1.000,0,3,3,6,2,1,3,2,32,23.8,-5
29,29,2017-12-15,21-099,UTA,@,BOS,W (+12),1,36:39,6,18,.333,2,5,.400,3,3,1.000,0,5,5,9,0,0,3,3,17,10.4,+12
30,30,2017-12-16,21-100,UTA,@,CLE,L (-9),1,36:23,11,16,.688,3,6,.500,1,2,.500,1,1,2,1,1,0,4,4,26,15.9,+2
31,31,2017-12-18,21-102,UTA,@,HOU,L (-21),1,21:08,3,7,.429,0,2,.000,0,0,,0,2,2,1,4,0,1,4,6,5.0,-15
32,,2017-12-20,21-104,UTA,@,OKC,L (-28),,,,,,,,,,,,,,,,,,,,,,
33,,2017-12-21,21-105,UTA,,SAS,W (+11),,,,,,,,,,,,,,,,,,,,,,
34,32,2017-12-23,21-107,UTA,,OKC,L (-14),1,37:20,12,16,.750,1,3,.333,4,4,1.000,0,5,5,1,1,1,3,3,29,22.3,-12
35,33,2017-12-26,21-110,UTA,@,DEN,L (-24),1,32:34,5,10,.500,1,4,.250,2,2,1.000,0,3,3,6,1,0,2,5,13,10.1,-16
36,34,2017-12-27,21-111,UTA,@,GSW,L (-25),1,34:45,6,17,.353,1,6,.167,4,5,.800,0,7,7,3,2,1,3,4,17,9.4,-11
37,35,2017-12-30,21-114,UTA,,CLE,W (+3),1,38:45,10,17,.588,2,6,.333,7,8,.875,0,4,4,6,3,1,4,4,29,24.2,+6
38,36,2018-01-03,21-118,UTA,,NOP,L (-10),1,38:18,6,17,.353,3,11,.273,9,10,.900,0,3,3,2,1,0,3,3,24,13.2,+1
39,37,2018-01-05,21-120,UTA,@,DEN,L (-8),1,35:43,6,13,.462,3,6,.500,0,1,.000,0,7,7,5,1,1,1,1,15,13.8,+1
40,38,2018-01-07,21-122,UTA,@,MIA,L (-1),1,36:28,12,25,.480,3,10,.300,0,0,,0,2,2,3,1,0,1,5,27,15.0,+5
41,39,2018-01-10,21-125,UTA,@,WAS,W (+3),1,30:59,7,20,.350,2,10,.200,0,0,,1,4,5,4,1,1,2,4,16,7.6,-8
42,40,2018-01-12,21-127,UTA,@,CHO,L (-11),1,36:47,10,20,.500,5,11,.455,10,11,.909,1,4,5,0,2,0,5,2,35,22.7,-18
43,41,2018-01-15,21-130,UTA,,IND,L (-15),1,32:51,8,16,.500,2,8,.250,5,5,1.000,1,1,2,2,2,0,1,0,23,18.4,-18
44,42,2018-01-17,21-132,UTA,@,SAC,W (+15),1,34:03,14,19,.737,1,4,.250,5,7,.714,0,1,1,3,3,0,3,3,34,26.7,+6
45,43,2018-01-19,21-134,UTA,,NYK,L (-2),1,36:33,7,21,.333,3,11,.273,0,0,,1,3,4,7,1,1,5,5,17,6.3,-8
