Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-18,37-292,LAL,@,GSW,L (-14),1,35:12,12,26,.462,3,10,.300,4,4,1.000,5,10,15,8,0,0,5,2,31,23.9,-10
2,2,2022-10-20,37-294,LAL,,LAC,L (-6),1,36:40,7,17,.412,2,8,.250,4,6,.667,2,8,10,6,1,2,2,3,20,17.3,-1
3,3,2022-10-23,37-297,LAL,,POR,L (-2),1,37:43,12,22,.545,2,9,.222,5,7,.714,1,7,8,8,2,2,4,3,31,26.2,+2
4,4,2022-10-26,37-300,LAL,@,DEN,L (-11),1,35:18,8,21,.381,2,8,.250,1,2,.500,2,5,7,9,1,0,8,1,19,8.9,-7
5,5,2022-10-28,37-302,LAL,@,MIN,L (-9),1,37:27,10,24,.417,1,6,.167,7,8,.875,3,4,7,5,4,0,3,2,28,21.8,-13
6,6,2022-10-30,37-304,LAL,,DEN,W (+11),1,34:42,10,22,.455,2,5,.400,4,5,.800,0,6,6,8,1,0,3,1,26,19.2,-1
7,7,2022-11-02,37-307,LAL,,NOP,W (+3),1,39:43,9,23,.391,0,7,.000,2,4,.500,0,10,10,8,0,2,2,3,20,13.5,+5
8,8,2022-11-04,37-309,LAL,,UTA,L (-14),1,34:09,7,19,.368,0,5,.000,3,5,.600,2,8,10,8,0,1,3,3,17,11.6,-11
9,9,2022-11-06,37-311,LAL,,CLE,L (-14),1,33:49,13,23,.565,1,4,.250,0,3,.000,2,5,7,4,0,0,1,0,27,19.6,-8
10,,2022-11-07,37-312,LAL,@,UTA,L (-23),,,,,,,,,,,,,,,,,,,,,,
11,10,2022-11-09,37-314,LAL,@,LAC,L (-13),1,32:21,12,22,.545,4,9,.444,2,4,.500,1,7,8,5,2,0,3,2,30,23.1,-17
12,,2022-11-11,37-316,LAL,,SAC,L (-6),,,,,,,,,,,,,,,,,,,,,,
13,,2022-11-13,37-318,LAL,,BRK,W (+13),,,,,,,,,,,,,,,,,,,,,,
14,,2022-11-18,37-323,LAL,,DET,W (+7),,,,,,,,,,,,,,,,,,,,,,
15,,2022-11-20,37-325,LAL,,SAS,W (+31),,,,,,,,,,,,,,,,,,,,,,
16,,2022-11-22,37-327,LAL,@,PHO,L (-10),,,,,,,,,,,,,,,,,,,,,,
17,11,2022-11-25,37-330,LAL,@,SAS,W (+11),1,33:15,8,17,.471,1,4,.250,4,4,1.000,0,8,8,5,3,1,9,2,21,12.1,+16
18,12,2022-11-26,37-331,LAL,@,SAS,W (+5),1,35:28,11,21,.524,7,12,.583,10,10,1.000,0,11,11,3,1,1,4,3,39,30.6,-3
19,13,2022-11-28,37-333,LAL,,IND,L (-1),1,36:10,8,22,.364,3,10,.300,2,3,.667,1,6,7,3,1,0,1,1,21,12.6,-7
20,14,2022-11-30,37-335,LAL,,POR,W (+19),1,32:30,12,18,.667,6,8,.750,1,3,.333,2,5,7,8,0,1,2,1,31,29.2,+8
21,15,2022-12-02,37-337,LAL,@,MIL,W (+4),1,37:11,12,27,.444,3,6,.500,1,2,.500,1,7,8,11,2,0,0,2,28,25.2,+6
22,16,2022-12-04,37-339,LAL,@,WAS,W (+11),1,34:26,12,26,.462,2,7,.286,3,4,.750,1,7,8,6,1,0,5,3,29,17.0,+13
23,17,2022-12-06,37-341,LAL,@,CLE,L (-14),1,35:37,8,17,.471,2,6,.333,3,4,.750,4,13,17,4,1,1,3,0,21,20.1,-14
24,,2022-12-07,37-342,LAL,@,TOR,L (-13),,,,,,,,,,,,,,,,,,,,,,
25,18,2022-12-09,37-344,LAL,@,PHI,L (-11),1,43:50,9,22,.409,1,8,.125,4,8,.500,1,3,4,6,2,0,3,3,23,13.2,-10
26,19,2022-12-11,37-346,LAL,@,DET,W (+7),1,36:52,14,24,.583,2,6,.333,5,5,1.000,1,4,5,5,1,0,1,1,35,28.8,+18
27,20,2022-12-13,37-348,LAL,,BOS,L (-4),1,42:47,14,25,.560,3,11,.273,2,4,.500,0,9,9,9,2,1,4,4,33,26.4,+10
28,21,2022-12-16,37-351,LAL,,DEN,W (+18),1,35:56,13,21,.619,1,4,.250,3,4,.750,1,8,9,4,2,0,2,2,30,25.2,+26
29,22,2022-12-18,37-353,LAL,,WAS,W (+2),1,36:33,13,24,.542,1,4,.250,6,8,.750,1,6,7,9,0,1,0,0,33,30.1,+10
30,,2022-12-19,37-354,LAL,@,PHO,L (-26),,,,,,,,,,,,,,,,,,,,,,
31,23,2022-12-21,37-356,LAL,@,SAC,L (-14),1,34:00,11,21,.524,0,4,.000,9,10,.900,0,6,6,11,0,2,2,0,31,29.2,-4
32,24,2022-12-23,37-358,LAL,,CHO,L (-4),1,33:56,15,23,.652,4,8,.500,0,2,.000,0,2,2,8,1,0,3,2,34,26.5,-6
33,25,2022-12-25,37-360,LAL,@,DAL,L (-9),1,34:20,13,23,.565,0,4,.000,12,12,1.000,0,6,6,5,0,0,2,2,38,29.6,+2
34,26,2022-12-27,37-362,LAL,@,ORL,W (+19),1,31:10,12,24,.500,0,7,.000,4,5,.800,2,5,7,5,1,1,4,1,28,19.3,+8
35,27,2022-12-28,37-363,LAL,@,MIA,L (-14),1,33:30,10,18,.556,2,5,.400,5,5,1.000,0,9,9,6,0,0,6,4,27,17.7,-4
36,28,2022-12-30,38-000,LAL,@,ATL,W (+9),1,39:39,18,27,.667,4,6,.667,7,9,.778,2,8,10,9,0,1,5,0,47,40.3,+12
37,29,2023-01-02,38-003,LAL,@,CHO,W (+6),1,39:33,16,26,.615,0,5,.000,11,15,.733,0,11,11,6,1,0,3,1,43,34.7,+9
38,,2023-01-04,38-005,LAL,,MIA,W (+3),,,,,,,,,,,,,,,,,,,,,,
39,30,2023-01-06,38-007,LAL,,ATL,W (+16),1,32:47,10,19,.526,1,5,.200,4,6,.667,0,7,7,10,0,0,5,0,25,19.0,+12
40,31,2023-01-07,38-008,LAL,@,SAC,W (+2),1,37:43,14,28,.500,1,6,.167,8,9,.889,1,7,8,7,1,0,4,2,37,26.5,+15
41,,2023-01-09,38-010,LAL,@,DEN,L (-13),,,,,,,,,,,,,,,,,,,,,,
