Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-18,33-053,PHI,@,BOS,L (-9),1,37:17,9,14,.643,5,9,.556,12,12,1.000,0,8,8,7,0,0,3,3,35,31.9,+1
2,2,2022-10-20,33-055,PHI,,MIL,L (-2),1,40:20,13,24,.542,1,7,.143,4,4,1.000,0,8,8,9,2,1,2,2,31,28.0,+5
3,3,2022-10-22,33-057,PHI,,SAS,L (-9),1,40:17,4,18,.222,1,6,.167,3,4,.750,4,5,9,12,1,2,2,3,12,12.5,0
4,4,2022-10-24,33-059,PHI,,IND,W (+14),1,34:39,10,18,.556,5,10,.500,4,4,1.000,0,9,9,11,2,0,1,2,29,31.0,+16
5,5,2022-10-26,33-061,PHI,@,TOR,L (-10),1,35:39,5,12,.417,3,6,.500,5,6,.833,0,7,7,9,0,1,3,2,18,16.5,-6
6,6,2022-10-28,33-063,PHI,@,TOR,W (+22),1,33:43,4,9,.444,0,3,.000,3,3,1.000,1,3,4,4,0,2,5,2,11,6.3,+3
7,7,2022-10-29,33-064,PHI,@,CHI,W (+5),1,36:00,2,13,.154,0,5,.000,11,11,1.000,0,6,6,11,2,0,3,0,15,15.2,-3
8,8,2022-10-31,33-066,PHI,@,WAS,W (+7),1,37:37,8,17,.471,2,6,.333,5,6,.833,0,7,7,17,2,0,4,2,23,25.1,+8
9,9,2022-11-02,33-068,PHI,,WAS,L (-10),1,35:04,8,18,.444,3,8,.375,5,6,.833,0,5,5,10,1,0,3,2,24,19.9,-9
10,,2022-11-04,33-070,PHI,,NYK,L (-2),,,,,,,,,,,,,,,,,,,,,,
11,,2022-11-07,33-073,PHI,,PHO,W (+12),,,,,,,,,,,,,,,,,,,,,,
12,,2022-11-10,33-076,PHI,@,ATL,L (-9),,,,,,,,,,,,,,,,,,,,,,
13,,2022-11-12,33-078,PHI,,ATL,W (+12),,,,,,,,,,,,,,,,,,,,,,
