Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
49,22,2023-01-24,20-077,CHO,@,PHO,L (-31),1,21:41,2,8,.250,0,1,.000,1,1,1.000,2,2,4,3,0,0,0,2,5,3.5,-6
50,,2023-01-26,20-079,CHO,,CHI,W (+15),,,,,,,,,,,,,,,,,,,,,,
51,,2023-01-29,20-082,CHO,,MIA,W (+5),,,,,,,,,,,,,,,,,,,,,,
52,,2023-01-31,20-084,CHO,@,MIL,L (-9),,,,,,,,,,,,,,,,,,,,,,
53,,2023-02-02,20-086,CHO,@,CHI,L (-16),,,,,,,,,,,,,,,,,,,,,,
54,,2023-02-03,20-087,CHO,@,DET,L (-6),,,,,,,,,,,,,,,,,,,,,,
55,,2023-02-05,20-089,CHO,,ORL,L (-6),,,,,,,,,,,,,,,,,,,,,,
56,,2023-02-08,20-092,CHO,@,WAS,L (-14),,,,,,,,,,,,,,,,,,,,,,
57,23,2023-02-10,20-094,CHO,@,BOS,L (-11),0,21:24,4,6,.667,0,1,.000,1,2,.500,1,4,5,1,0,0,1,1,9,7.2,-10
58,24,2023-02-11,20-095,CHO,,DEN,L (-14),0,11:57,1,2,.500,0,1,.000,0,0,,0,1,1,1,1,0,3,2,2,-0.8,-14
59,25,2023-02-13,20-097,CHO,,ATL,W (+6),0,18:41,1,4,.250,1,2,.500,1,2,.500,0,1,1,1,0,0,2,1,4,-0.2,+6
60,26,2023-02-15,20-099,CHO,,SAS,W (+10),0,25:44,3,9,.333,2,3,.667,3,4,.750,0,1,1,3,2,0,0,0,11,9.9,+6
61,,2023-02-24,20-108,CHO,@,MIN,W (+8),,,,,,,,,,,,,,,,,,,,,,
62,,2023-02-25,20-109,CHO,,MIA,W (+5),,,,,,,,,,,,,,,,,,,,,,
63,27,2023-02-27,20-111,CHO,,DET,W (+11),0,4:55,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-12
64,28,2023-03-01,20-113,CHO,,PHO,L (-14),0,14:52,1,2,.500,0,1,.000,1,2,.500,0,2,2,0,0,0,1,0,3,1.2,-5
65,29,2023-03-03,20-115,CHO,,ORL,L (-11),0,15:01,0,3,.000,0,3,.000,1,2,.500,2,3,5,0,1,0,1,0,1,0.8,+3
66,30,2023-03-05,20-117,CHO,@,BRK,L (-16),0,20:04,2,5,.400,1,2,.500,0,0,,1,1,2,0,0,0,0,0,5,3.3,-12
67,31,2023-03-07,20-119,CHO,@,NYK,W (+7),0,18:57,1,4,.250,0,2,.000,0,0,,0,2,2,0,0,0,1,1,2,-1.2,-16
68,32,2023-03-09,20-121,CHO,@,DET,W (+10),0,17:09,1,1,1.000,1,1,1.000,1,2,.500,0,2,2,0,0,0,1,0,4,2.9,+13
69,33,2023-03-11,20-123,CHO,,UTA,L (-8),0,11:34,0,2,.000,0,1,.000,2,2,1.000,1,0,1,0,0,0,0,0,2,1.3,+1
70,34,2023-03-12,20-124,CHO,,CLE,L (-6),0,14:47,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,4,0,-3.7,-13
71,35,2023-03-14,20-126,CHO,,CLE,L (-16),0,13:13,1,3,.333,0,1,.000,2,2,1.000,0,0,0,0,0,0,2,2,4,-0.5,-4
72,36,2023-03-17,20-129,CHO,,PHI,L (-39),0,20:02,2,4,.500,0,1,.000,5,5,1.000,1,0,1,2,1,1,2,2,9,8.0,-20
73,37,2023-03-20,20-132,CHO,,IND,W (+6),0,4:40,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,2,2,-0.8,-5
74,38,2023-03-23,20-135,CHO,@,NOP,L (-19),0,25:10,2,5,.400,0,3,.000,4,5,.800,0,1,1,6,0,1,1,1,8,8.7,+4
75,39,2023-03-24,20-136,CHO,@,DAL,W (+8),0,22:54,1,6,.167,1,3,.333,0,0,,2,1,3,0,1,0,0,1,3,1.5,+7
76,40,2023-03-26,20-138,CHO,,DAL,W (+6),0,20:22,3,8,.375,2,3,.667,1,2,.500,1,3,4,4,0,0,2,1,9,6.2,0
77,41,2023-03-28,20-140,CHO,@,OKC,W (+3),1,23:54,4,9,.444,3,6,.500,0,2,.000,0,2,2,2,2,0,2,3,11,6.3,-10
78,42,2023-03-31,20-143,CHO,,CHI,L (-30),1,23:49,3,7,.429,1,3,.333,1,2,.500,0,5,5,2,0,0,2,2,8,4.0,-13
79,43,2023-04-02,20-145,CHO,,TOR,L (-20),1,30:18,3,6,.500,1,2,.500,4,6,.667,0,2,2,2,0,0,2,1,11,6.8,-13
80,44,2023-04-04,20-147,CHO,,TOR,L (-20),1,35:34,7,12,.583,2,5,.400,4,6,.667,2,4,6,3,0,0,4,4,20,12.7,-20
81,45,2023-04-07,20-150,CHO,,HOU,L (-3),1,35:05,6,15,.400,1,5,.200,3,4,.750,1,4,5,2,1,0,1,1,16,10.4,+4
82,46,2023-04-09,20-152,CHO,@,CLE,W (+11),1,32:32,6,11,.545,1,4,.250,9,10,.900,0,4,4,4,2,0,4,1,22,17.9,+14
